epoch	loss	prec1	prec5	lr
1	2.966386556625366	15.022520065307617	41.661746978759766	0.04
2	2.497776508331299	27.390731811523438	59.90367889404297	0.04
3	2.2593348026275635	33.93077087402344	65.99247741699219	0.04
4	2.128479480743408	37.665523529052734	68.96138763427734	0.04
5	2.044402837753296	40.23801803588867	70.5048828125	0.04
6	1.982681155204773	41.97550582885742	71.82486724853516	0.04
7	1.9601352214813232	42.62158203125	72.03067016601562	0.04
8	1.9189211130142212	43.80071258544922	72.85301971435547	0.04
9	1.8895114660263062	44.68294906616211	73.47801208496094	0.04
10	1.8591442108154297	45.571937561035156	74.0355224609375	0.04
11	1.8406766653060913	46.136199951171875	74.21686553955078	0.04
12	1.8238258361816406	46.48706817626953	74.60990905761719	0.04
13	1.803795337677002	47.177005767822266	74.88655853271484	0.04
14	1.7972182035446167	47.468833923339844	75.02741241455078	0.04
15	1.7904548645019531	47.65692138671875	75.078857421875	0.04
16	1.779421091079712	48.024662017822266	75.16910552978516	0.04
17	1.7699552774429321	48.22455596923828	75.34032440185547	0.04
18	1.7609598636627197	48.62687683105469	75.43395233154297	0.04
19	1.7706571817398071	48.469154357910156	75.19525909423828	0.04
20	1.7486963272094727	48.82339859008789	75.62963104248047	0.04
21	1.7497174739837646	48.70109939575195	75.47611999511719	0.04
22	1.7438586950302124	49.1708984375	75.62625122070312	0.04
